Tytuł,Cena,link,Metraż,Dzielnica
Styl retro w nowoczesnym wydaniu – wyjątkowe mieszkanie,915 000 zł,https://www.otodom.pl/pl/oferta/styl-retro-w-nowoczesnym-wydaniu-wyjatkowe-mieszkanie-ID4y7oJ.html,"58,29",Czyżyny
Na sprzedaż mieszkanie ul. Obozowa Kraków,870 000 złdo negocjacji,https://www.olx.pl/d/oferta/na-sprzedaz-mieszkanie-ul-obozowa-krakow-CID3-ID17Agef.html,"63,94",Podgórze Duchackie
Piękna kawalerka.32m2.Mała Góra. Sprzedaż/zamiana,488 000 złdo negocjacji,https://www.olx.pl/d/oferta/piekna-kawalerka-32m2-mala-gora-sprzedaz-zamiana-CID3-ID17oBXo.html,32,Bieżanów-Prokocim
"Mieszkanie 3-pok, 67m2, 2008r, Zakrzówek, dobra lokalizacja!",875 000 zł,https://www.otodom.pl/pl/oferta/mieszkanie-3-pok-67m2-2008r-zakrzowek-dobra-lokalizacja-ID4xNFT.html,"67,33",Dębniki
"2pokoje, oddzielna kuchnia,os.Albertyńskie,Czyżyny",639 999 zł,https://www.otodom.pl/pl/oferta/2pokoje-oddzielna-kuchnia-os-albertynskie-czyzyny-ID4yeSg.html,"44,56",Czyżyny
Sprzedam mieszkanie 2-pokojowe 40 m2,650 000 zł,https://www.olx.pl/d/oferta/sprzedam-mieszkanie-2-pokojowe-40-m2-CID3-ID17qlFg.html,40,Nowa Huta
"ŚwietnaOkazyjnaOferta/2pok/d.balkon,piwnica/Chmieleniec.Ruczaj,Kupuj.",559 000 zł,https://www.otodom.pl/pl/oferta/swietnaokazyjnaoferta-2pok-d-balkon-piwnica-chmieleniec-ruczaj-kupuj-ID4yelH.html,"43,55",Dębniki
2 pok/42 m2/do zamieszkania/po remoncie/os.Albertyńskie/balkon,633 000 złdo negocjacji,https://www.olx.pl/d/oferta/2-pok-42-m2-do-zamieszkania-po-remoncie-os-albertynskie-balkon-CID3-ID17kRt9.html,"42,30",Bieńczyce
"Kraków, Poznańska 5 — 55 m² + taras 20 m², 2 pok., garderoba, k. lokat",850 000 zł,https://www.olx.pl/d/oferta/krakow-poznanska-5-55-m-taras-20-m-2-pok-garderoba-k-lokat-CID3-ID17jVvX.html,55,Krowodrza
"Kraków, Tanie 2 pokoje, 290-315 tys",315 000 zł,https://www.otodom.pl/pl/oferta/krakow-tanie-2-pokoje-290-315-tys-ID4y3Y4.html,"35,11",Mistrzejowice
Sprzedam mieszkanie Kraków Prądnik właściciel,795 000 zł,https://www.olx.pl/d/oferta/sprzedam-mieszkanie-krakow-pradnik-wlasciciel-CID3-ID17jWuY.html,59,Prądnik Czerwony
Mieszkanie 2-pok. z balkonem Dobrego Pasterza 129,465 000 zł,https://www.otodom.pl/pl/oferta/mieszkanie-2-pok-z-balkonem-dobrego-pasterza-129-ID4yiGi.html,32,Mistrzejowice
Krowodrza Górka Rusznikarska ⭐2 pokoje + balkon ⭐doskonała lokalizacja,470 000 zł,https://www.otodom.pl/pl/oferta/krowodrza-gorka-rusznikarska-2-pokoje-balkon-doskonala-lokalizacja-ID4yjxc.html,30,Prądnik Biały
"Słoneczne, 1-Pokojowe W Atrakcyjnej Lokalizacji",469 000 zł,https://www.otodom.pl/pl/oferta/sloneczne-1-pokojowe-w-atrakcyjnej-lokalizacji-ID4yf00.html,"26,32",Krowodrza
Mieszkanie 2-pok. 51 m2 Bronowice Mydlniki atrakcyjne wyposażone,725 000 złdo negocjacji,https://www.olx.pl/d/oferta/mieszkanie-2-pok-51-m2-bronowice-mydlniki-atrakcyjne-wyposazone-CID3-ID17BriP.html,51,Bronowice
Gotowiec inwestycyjny - gwarancja czynszu 5 lat -6000zł/m-c,1 200 000 zł,https://www.otodom.pl/pl/oferta/gotowiec-inwestycyjny-gwarancja-czynszu-5-lat-6000zl-m-c-ID4rrLf.html,"70,50",Prądnik Biały
"Dwupokojowe mieszkanie z oddzielną kuchnią - Bronowicka,",699 000 zł,https://www.olx.pl/d/oferta/dwupokojowe-mieszkanie-z-oddzielna-kuchnia-bronowicka-CID3-ID17kaZE.html,50,Bronowice
Felińskiego 3 pokoje - sprzedaż,770 000 zł,https://www.otodom.pl/pl/oferta/felinskiego-3-pokoje-sprzedaz-ID4yhJH.html,"52,99",Prądnik Czerwony
Zabłocie • TOP LOKALIZACJA • Nowe • WYKOŃCZONE • m.postojowe • balkon,829 600 zł,https://www.otodom.pl/pl/oferta/zablocie-top-lokalizacja-nowe-wykonczone-m-postojowe-balkon-ID4sP2L.html,40,Podgórze
"Kraków ul. Helclów,  mieszkanie sprzedam, stan deweloperski",550 000 zł,https://www.olx.pl/d/oferta/krakow-ul-helclow-mieszkanie-sprzedam-stan-deweloperski-CID3-ID177E7A.html,34,Stare Miasto
Mieszkanie na sprzedaż Podedworze 13,542 000 zł,https://www.otodom.pl/pl/oferta/mieszkanie-na-sprzedaz-podedworze-13-ID4y5OE.html,"34,50",Podgórze Duchackie
2 pokoje wysoki standard | balkon | Bonarka,399 000 zł,https://www.otodom.pl/pl/oferta/2-pokoje-wysoki-standard-balkon-bonarka-ID4rmrZ.html,27,Podgórze
"VistaDom - mieszkanie 1 pokojowe, os. Szklane Dom",425 000 zł,https://www.otodom.pl/pl/oferta/vistadom-mieszkanie-1-pokojowe-os-szklane-dom-ID4xoSN.html,"31,73",Nowa Huta
"Mieszkanie 3 pokojowe, Prądnik Czerwony, budynek z 2004 roku",850 000 złdo negocjacji,https://www.olx.pl/d/oferta/mieszkanie-3-pokojowe-pradnik-czerwony-budynek-z-2004-roku-CID3-ID17C1i3.html,"55,40",Prądnik Czerwony
Wykończone 2 pokoje! Bieżanowska/ Prokocim,325 000 zł,https://www.otodom.pl/pl/oferta/wykonczone-2-pokoje-biezanowska-prokocim-ID4y3Xh.html,27,Bieżanów-Prokocim
Mieszkanie w wysokim standardzie z garażem,535 000 zł,https://www.otodom.pl/pl/oferta/mieszkanie-w-wysokim-standardzie-z-garazem-ID4v0Tg.html,"30,94",Dębniki
3 pokoje | 57 m² | 9 piętro | Widokowe | Bez pośredników,792 000 złdo negocjacji,https://www.olx.pl/d/oferta/3-pokoje-57-m-9-pietro-widokowe-bez-posrednikow-CID3-ID17CEZf.html,"57,11",Podgórze Duchackie
Zamieszkaj Z Widokiem Na Kraków – Wyjątkowe Mieszkanie Na Kurdwanowie,575 000 zł,https://www.otodom.pl/pl/oferta/zamieszkaj-z-widokiem-na-krakow-wyjatkowe-mieszkanie-na-kurdwanowie-ID4yePv.html,"48,90",Podgórze Duchackie
"Kraków-ul. Komuny paryskiej-kawalerka-33,5m2-I piętro-garaż",579 550 zł,https://www.otodom.pl/pl/oferta/krakow-ul-komuny-paryskiej-kawalerka-33-5m2-i-pietro-garaz-ID4xwIy.html,"33,50",Dębniki
Dwupokojowe nowoczesne mieszkanie Bronowice,574 000 zł,https://www.otodom.pl/pl/oferta/dwupokojowe-nowoczesne-mieszkanie-bronowice-ID4yiog.html,28,Bronowice
3 Osobne Pokoje! Do Odświeżenia!,555 000 zł,https://www.otodom.pl/pl/oferta/3-osobne-pokoje-do-odswiezenia-ID4yfZM.html,49,Mistrzejowice
"Nowe 2-pokojowe, 12 min do Rynku, Autobus tylko 200m!",559 000 zł,https://www.otodom.pl/pl/oferta/nowe-2-pokojowe-12-min-do-rynku-autobus-tylko-200m-ID4xPrO.html,"34,30",Prądnik Biały
2 pok. na Krowodrzy* 38 m2* Gotowe* Bez PCC* Odlicz VAT* Wynajęte,345 000 zł,https://www.otodom.pl/pl/oferta/2-pok-na-krowodrzy-38-m2-gotowe-bez-pcc-odlicz-vat-wynajete-ID4yfFQ.html,"38,50",Krowodrza
Mieszkanie Kraków ul. Białoprądnicka | Prądnik Biały,970 000 złdo negocjacji,https://www.olx.pl/d/oferta/mieszkanie-krakow-ul-bialopradnicka-pradnik-bialy-CID3-ID17kxex.html,"81,53",Prądnik Biały
2 pok | oddzielna kuchnia | od zaraz,550 000 zł,https://www.otodom.pl/pl/oferta/2-pok-oddzielna-kuchnia-od-zaraz-ID4yfDV.html,"42,40",Bieżanów-Prokocim
Tania Kawalerka W Nowej Hucie,349 000 zł,https://www.otodom.pl/pl/oferta/tania-kawalerka-w-nowej-hucie-ID4yjvs.html,19,Nowa Huta
.. w przygotowaniu... prezentacje od 20 września,595 999 zł,https://www.otodom.pl/pl/oferta/w-przygotowaniu-prezentacje-od-20-wrzesnia-ID4ybH6.html,53,Czyżyny
Dwustronne mieszkanie z ogródkiem,715 000 zł,https://www.otodom.pl/pl/oferta/dwustronne-mieszkanie-z-ogrodkiem-ID4xTgV.html,57,Bieżanów-Prokocim
Słoneczne 2 pok + kuchnia balkon przy Parku mpec,579 000 zł,https://www.otodom.pl/pl/oferta/sloneczne-2-pok-kuchnia-balkon-przy-parku-mpec-ID4yi4v.html,"46,04",Podgórze Duchackie
Przestronne mieszkanie+parking+ogród,1 250 000 zł,https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-parking-ogrod-ID4xSyr.html,"97,13",Bronowice
"Darowskiego, Mydlniki, Bronowice,  bezpośrednio od właściciela",623 000 złdo negocjacji,https://www.olx.pl/d/oferta/darowskiego-mydlniki-bronowice-bezposrednio-od-wlasciciela-CID3-ID12q1Us.html,43,Bronowice
Bobrzyńskiego 45A Ruczaj piękne dwustronne 2pokoje,749 000 zł,https://www.otodom.pl/pl/oferta/bobrzynskiego-45a-ruczaj-piekne-dwustronne-2pokoje-ID4uPaX.html,52,Dębniki
Słoneczne 2 pok + kuchnia balkon przy Parku mpec,579 000 zł,https://www.otodom.pl/pl/oferta/sloneczne-2-pok-kuchnia-balkon-przy-parku-mpec-ID4yi4v.html,"46,04",Podgórze Duchackie
Nowe mieszkanie z tarasem na dachu,"738 963,50 zł",https://www.otodom.pl/pl/oferta/nowe-mieszkanie-z-tarasem-na-dachu-ID4vGcS.html,"62,15",Bieżanów-Prokocim
Super kawalerka na Śląska 3 w Krakowie!,470 000 zł,https://www.otodom.pl/pl/oferta/super-kawalerka-na-slaska-3-w-krakowie-ID4yizP.html,28,Krowodrza
Sprzedam BEZ PROWIZJI Odnowione Mieszkanie Kraków Oś Oświecenia,738 000 zł,https://www.otodom.pl/pl/oferta/sprzedam-bez-prowizji-odnowione-mieszkanie-krakow-os-oswiecenia-ID4x0tc.html,53,Mistrzejowice
3 Pokoje | Piwnica | Zielona okolica | Bieńczyce,629 000 zł,https://www.otodom.pl/pl/oferta/3-pokoje-piwnica-zielona-okolica-bienczyce-ID4x6JO.html,"54,28",Nowa Huta
Nowoczesne Mieszkanie 2-Pokojowe + Miejsce W Garażu,750 000 zł,https://www.otodom.pl/pl/oferta/nowoczesne-mieszkanie-2-pokojowe-miejsce-w-garazu-ID4yfWj.html,"48,17",Czyżyny
Kawalerka 27m Nowa Huta,329 000 złdo negocjacji,https://www.olx.pl/d/oferta/kawalerka-27m-nowa-huta-CID3-ID17oBrz.html,27,Nowa Huta
"Dwupokojowe, 39m2, Widok, Bronowice bezpośrednio",650 000 złdo negocjacji,https://www.olx.pl/d/oferta/dwupokojowe-39m2-widok-bronowice-bezposrednio-CID3-ID17yNdR.html,39,Bronowice
"Nowoczesne 2 pokoje, balkon, Wiślane Tarasy 2.0, ul. Grzegórzecka 69E",1 075 000 zł,https://www.olx.pl/d/oferta/nowoczesne-2-pokoje-balkon-wislane-tarasy-2-0-ul-grzegorzecka-69e-CID3-ID17vUkU.html,33,Grzegórzki
Mieszkanie w kamienicy na Starym Podgórzu 3-pokoje,750 000 zł,https://www.olx.pl/d/oferta/mieszkanie-w-kamienicy-na-starym-podgorzu-3-pokoje-CID3-ID14PeH9.html,52,Podgórze
"Sprzedam mieszkanie czteropokojowe na oś, Tysiąclecia w Krakowie",850 000 złdo negocjacji,https://www.olx.pl/d/oferta/sprzedam-mieszkanie-czteropokojowe-na-os-tysiaclecia-w-krakowie-CID3-ID17s7yM.html,"65,10",Mistrzejowice
"TBS KLINY - mieszkanie 5 pokoi, pow. 73 m², po podłodze ok. 95 m²",380 000 zł,https://www.olx.pl/d/oferta/tbs-kliny-mieszkanie-5-pokoi-pow-73-m-po-podlodze-ok-95-m-CID3-ID179ggn.html,95,Dębniki
3M|balkon_parking_winda_komunikacja miejska|REZERWACJA,699 000 zł,https://www.otodom.pl/pl/oferta/3m-balkon-parking-winda-komunikacja-miejska-rezerwacja-ID4y47A.html,48,Bieżanów-Prokocim
"dwupokojowe mieszkanie z osobną kuchnią, ogrodem oraz piwnicą",759 000 zł,https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-z-osobna-kuchnia-ogrodem-oraz-piwnica-ID4yk54.html,"46,20",Prądnik Biały
2M| 5 min Serenada_parking_zieleń_dobrze oświetlone|,465 000 zł,https://www.otodom.pl/pl/oferta/2m-5-min-serenada-parking-zielen-dobrze-oswietlone-ID4ydOD.html,36,Bieńczyce
Saska Blu 2 pokojowe doskonała lokalizacja,629 000 zł,https://www.otodom.pl/pl/oferta/saska-blu-2-pokojowe-doskonala-lokalizacja-ID4yjWP.html,"40,59",Podgórze
3 pok z osobną kuchnią ul.Stachiewicza.,648 000 zł,https://www.otodom.pl/pl/oferta/3-pok-z-osobna-kuchnia-ul-stachiewicza-ID4ydkp.html,50,Prądnik Biały
Mieszkanie 35 m2/ Zabłocie ul. Dekerta,499 000 zł,https://www.otodom.pl/pl/oferta/mieszkanie-35-m2-zablocie-ul-dekerta-ID4uOHI.html,35,Podgórze
REZERWACJA Nowa kawalerka | Bonarka | balkon,279 000 zł,https://www.otodom.pl/pl/oferta/rezerwacja-nowa-kawalerka-bonarka-balkon-ID4xYe6.html,17,Podgórze
Zamieszkaj Z Widokiem Na Kraków – Wyjątkowe Mieszkanie Na Kurdwanowie,575 000 zł,https://www.otodom.pl/pl/oferta/zamieszkaj-z-widokiem-na-krakow-wyjatkowe-mieszkanie-na-kurdwanowie-ID4yePv.html,"48,90",Podgórze Duchackie
"3 pokojowe, przestrzenne mieszkanie z klimatyzacją",720 000 zł,https://www.otodom.pl/pl/oferta/3-pokojowe-przestrzenne-mieszkanie-z-klimatyzacja-ID4vl3C.html,"63,02",Bieżanów-Prokocim
"Mieszkanie 47,7m Kraków ul. Sołtysowska Fajny Dom,od właściciela",763 000 zł,https://www.otodom.pl/pl/oferta/mieszkanie-47-7m-krakow-ul-soltysowska-fajny-dom-od-wlasciciela-ID4xIta.html,"47,70",Czyżyny
"Mieszkanie 73,09m2 z tarasem 52,18m2 widok na zieleń,10 min do CENTRUM",1 257 148 zł,https://www.olx.pl/d/oferta/mieszkanie-73-09m2-z-tarasem-52-18m2-widok-na-zielen-10-min-do-centrum-CID3-ID17dJvv.html,"73,09",Prądnik Czerwony
"Sprzedam dwupokojowe mieszkanie os. Dywizjonu 303, 19C",620 000 zł,https://www.olx.pl/d/oferta/sprzedam-dwupokojowe-mieszkanie-os-dywizjonu-303-19c-CID3-ID17tLOL.html,"42,40",Mistrzejowice
Sprzedane! Krowodrza Suterena 2 pokoje Wrocławska Wielkotyrnowska,229 000 zł,https://www.otodom.pl/pl/oferta/sprzedane-krowodrza-suterena-2-pokoje-wroclawska-wielkotyrnowska-ID4xtwl.html,27,Krowodrza
Sprzedam bezpośrednio 2-pokojowe mieszkanie 36m.,519 000 zł,https://www.otodom.pl/pl/oferta/sprzedam-bezposrednio-2-pokojowe-mieszkanie-36m-ID4ycnZ.html,36,Bieńczyce
Kawalerka do Remontu | 4min Tramwaj | Inwestycja,299 000 zł,https://www.otodom.pl/pl/oferta/kawalerka-do-remontu-4min-tramwaj-inwestycja-ID4yjZp.html,"19,26",Nowa Huta
Wyjątkowy dwupoziomowy apartament typu stodoła z garażem indywidualnym,1 399 000 zł,https://www.otodom.pl/pl/oferta/wyjatkowy-dwupoziomowy-apartament-typu-stodola-z-garazem-indywidualnym-ID4wOUS.html,80,Prądnik Biały
Bagry/Miejsce postojowe/Komórka lokatorska/od Już,549 000 zł,https://www.otodom.pl/pl/oferta/bagry-miejsce-postojowe-komorka-lokatorska-od-juz-ID4yk1P.html,"28,84",Podgórze
"Duże 4 pokoje–balkon, piwnica, świetna lokalizacja",888 000 zł,https://www.otodom.pl/pl/oferta/duze-4-pokojebalkon-piwnica-swietna-lokalizacja-ID4xNHC.html,"80,84",Bieżanów-Prokocim
"3pokoje, 2 balkony, m. postojowe, MPEC, budynek 2017, autobus",619 000 zł,https://www.otodom.pl/pl/oferta/3pokoje-2-balkony-m-postojowe-mpec-budynek-2017-autobus-ID4y68O.html,"39,99",Prądnik Biały
Dwupokojowe mieszkanie w okolicy ul. Stańczyka,549 000 zł,https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-w-okolicy-ul-stanczyka-ID4vosg.html,40,Bronowice
"38m2 , mieszkanie z balkonem, Górka Narodowa ul. Słomczyńskiego",559 000 zł,https://www.otodom.pl/pl/oferta/38m2-mieszkanie-z-balkonem-gorka-narodowa-ul-slomczynskiego-ID4yhKN.html,"38,08",Prądnik Biały
Bez prowizji|2 pok.+kuchnia|zieleń,470 000 zł,https://www.otodom.pl/pl/oferta/bez-prowizji-2-pok-kuchnia-zielen-ID4xPF1.html,37,Wzgórza Krzesławickie
3-pokojowe przytulne mieszkanie 70 m² z 2 balkonami oraz widną kuchnią,839 000 zł,https://www.otodom.pl/pl/oferta/3-pokojowe-przytulne-mieszkanie-70-m-z-2-balkonami-oraz-widna-kuchnia-ID4yecq.html,"70,32",Bieżanów-Prokocim
"Nowoczesne studio z oddzielną kuchnią i strefami Kraków Bieżanów 32,5m",505 000 zł,https://www.olx.pl/d/oferta/nowoczesne-studio-z-oddzielna-kuchnia-i-strefami-krakow-biezanow-32-5m-CID3-ID17dVFB.html,"32,26",Bieżanów-Prokocim
Kawalerka na osiedlu Spółdzielczym na sprzedaż!,440 000 złdo negocjacji,https://www.olx.pl/d/oferta/kawalerka-na-osiedlu-spoldzielczym-na-sprzedaz-CID3-ID170z9x.html,36,Bieńczyce
Wykończone 2 pokoje! Bieżanowska/ Prokocim,349 000 zł,https://www.otodom.pl/pl/oferta/wykonczone-2-pokoje-biezanowska-prokocim-ID4xTmo.html,28,Bieżanów-Prokocim
DUŻA JASNA kuchnia - dwa niezależne pokoje,460 000 zł,https://www.otodom.pl/pl/oferta/duza-jasna-kuchnia-dwa-niezalezne-pokoje-ID4y1k2.html,41,Nowa Huta
3-pokojowe na os.Kazimierzowskim na sprzedaż!,470 000 złdo negocjacji,https://www.olx.pl/d/oferta/3-pokojowe-na-os-kazimierzowskim-na-sprzedaz-CID3-ID159z6Q.html,44,Bieńczyce
3-pok. 51m2 *Sidzina ul. Działowskiego*ogród 208m2,664 170 zł,https://www.otodom.pl/pl/oferta/3-pok-51m2-sidzina-ul-dzialowskiegoogrod-208m2-ID4xdye.html,"51,09",Dębniki
Luksusowe  dwupoziomowe  ponadczasowy styl i komfort  bez kompromisów!,815 000 zł,https://www.otodom.pl/pl/oferta/luksusowe-dwupoziomowe-ponadczasowy-styl-i-komfort-bez-kompromisow-ID4xC8j.html,70,Bieżanów-Prokocim
Mieszkanie z balkonem / Borek Fałęcki,279 000 zł,https://www.otodom.pl/pl/oferta/mieszkanie-z-balkonem-borek-falecki-ID4y65D.html,"19,80",Łagiewniki-Borek Fałęcki
| Przestronne | 3 pokojowe | Komórka Lokatorska | Kraków - Kliny |,630 000 zł,https://www.otodom.pl/pl/oferta/przestronne-3-pokojowe-komorka-lokatorska-krakow-kliny-ID4yamS.html,"46,10",Dębniki
Nowy apartament 3 pokojowy 50m2,800 000 zł,https://www.otodom.pl/pl/oferta/nowy-apartament-3-pokojowy-50m2-ID4ydrY.html,50,Bronowice
3-pokojowe przytulne mieszkanie 70 m² z 2 balkonami oraz widną kuchnią,839 000 zł,https://www.otodom.pl/pl/oferta/3-pokojowe-przytulne-mieszkanie-70-m-z-2-balkonami-oraz-widna-kuchnia-ID4yecq.html,"70,32",Bieżanów-Prokocim
"Nowoczesne studio z oddzielną kuchnią i strefami Kraków Bieżanów 32,5m",505 000 zł,https://www.olx.pl/d/oferta/nowoczesne-studio-z-oddzielna-kuchnia-i-strefami-krakow-biezanow-32-5m-CID3-ID17dVFB.html,"32,26",Bieżanów-Prokocim
Kawalerka na osiedlu Spółdzielczym na sprzedaż!,440 000 złdo negocjacji,https://www.olx.pl/d/oferta/kawalerka-na-osiedlu-spoldzielczym-na-sprzedaz-CID3-ID170z9x.html,36,Bieńczyce
2-pokojowe mieszkanie w Krakowie przy ulicy Jana Palacha,450 000 zł,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-w-krakowie-przy-ulicy-jana-palacha-ID4y68M.html,37,Prądnik Biały
"Mieszkanie z widokiem na park, Wielicka, Prokocim",739 000 zł,https://www.otodom.pl/pl/oferta/mieszkanie-z-widokiem-na-park-wielicka-prokocim-ID4ydgD.html,52,Bieżanów-Prokocim
Nadrzeczna| mieszkanie 2 -pokojowe,549 000 zł,https://www.otodom.pl/pl/oferta/nadrzeczna-mieszkanie-2-pokojowe-ID4xZk0.html,"43,20",Grzegórzki
Dwupokojowe mieszkanie z balkonem i ogrzewaniem z sieci miejskiej,598 000 zł,https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-z-balkonem-i-ogrzewaniem-z-sieci-miejskiej-ID4yjFk.html,"44,60",Grzegórzki
Przestronne mieszkanie z balkonem i parkingiem!,1 130 000 zł,https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-z-balkonem-i-parkingiem-ID4yb79.html,"85,33",Podgórze
Trzypokojowe mieszkanie wykończone w wysokim standardzie,684 000 zł,https://www.otodom.pl/pl/oferta/trzypokojowe-mieszkanie-wykonczone-w-wysokim-standardzie-ID4y6KJ.html,52,Czyżyny
Przytulna kawalerka / Blisko Collegium Medicum,199 000 zł,https://www.otodom.pl/pl/oferta/przytulna-kawalerka-blisko-collegium-medicum-ID4y668.html,"15,40",Podgórze Duchackie
Słoneczne 3-Pokojowe Mieszkanie Z Balkonem,629 000 zł,https://www.otodom.pl/pl/oferta/sloneczne-3-pokojowe-mieszkanie-z-balkonem-ID4xQBh.html,49,Dębniki
Sprzedam atrakcyjne mieszkanie na Górce Narodowej,679 000 zł,https://www.otodom.pl/pl/oferta/sprzedam-atrakcyjne-mieszkanie-na-gorce-narodowej-ID4yfvW.html,"40,09",Prądnik Biały
38 m2 | cicha kamienica | Miodowa,580 000 zł,https://www.otodom.pl/pl/oferta/38-m2-cicha-kamienica-miodowa-ID4wSt0.html,"37,87",Stare Miasto
2 pokojowy lokal mieszkalno-użytkowy po remoncie  ul. Zyblikiewicza,585 000 zł,https://www.olx.pl/d/oferta/2-pokojowy-lokal-mieszkalno-uzytkowy-po-remoncie-ul-zyblikiewicza-CID3-ID17wwfk.html,39,Stare Miasto
"BEZ PROWIZJI! K. lokatorska, m. postojowe zew., blisko centrum",670 000 zł,https://www.otodom.pl/pl/oferta/bez-prowizji-k-lokatorska-m-postojowe-zew-blisko-centrum-ID4y2Mn.html,"50,10",Grzegórzki
Sprzedam mieszkanie Kraków Prądnik właściciel,795 000 zł,https://www.olx.pl/d/oferta/sprzedam-mieszkanie-krakow-pradnik-wlasciciel-CID3-ID17jWuY.html,59,Prądnik Czerwony
"M2 z aneksem 12 piętro, balkon, garaż",729 000 zł,https://www.otodom.pl/pl/oferta/m2-z-aneksem-12-pietro-balkon-garaz-ID4vWZ2.html,"54,07",Prądnik Czerwony
"jednopokojowe, Ugorek, z dostępem do tarasu!",340 000 złdo negocjacji,https://www.olx.pl/d/oferta/jednopokojowe-ugorek-z-dostepem-do-tarasu-CID3-ID17zfYi.html,21,Prądnik Czerwony
3-pokojowe mieszkanie 46m2 + taras Bez Pośredników,548 847 zł,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-46m2-taras-bez-posrednikow-ID4xTwB.html,"46,91",Dębniki
Kawalerka z przepięknym widokiem na bulwary wiślane!,380 000 zł,https://www.otodom.pl/pl/oferta/kawalerka-z-przepieknym-widokiem-na-bulwary-wislane-ID4y9Ni.html,23,Grzegórzki
3 Osobne Pokoje! Do Odświeżenia!,555 000 zł,https://www.otodom.pl/pl/oferta/3-osobne-pokoje-do-odswiezenia-ID4y0Qh.html,49,Mistrzejowice
Perfekcyjne 3 pokojowe mieszkanie- Podgórze,659 000 zł,https://www.otodom.pl/pl/oferta/perfekcyjne-3-pokojowe-mieszkanie-podgorze-ID4ybwo.html,50,Bieżanów-Prokocim
Dwupokojowe mieszkanie z balkonem - oferta prywatna,470 000 zł,https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-z-balkonem-oferta-prywatna-ID4ydXo.html,30,Krowodrza
Studio w centrum Krakowa - Krowodrza,375 000 zł,https://www.otodom.pl/pl/oferta/studio-w-centrum-krakowa-krowodrza-ID4xJe8.html,25,Krowodrza
"Okazja! 2 oddzielne pokoje, 41,5 m2 + piwnica",495 000 zł,https://www.otodom.pl/pl/oferta/okazja-2-oddzielne-pokoje-41-5-m2-piwnica-ID4xUuQ.html,"41,53",Nowa Huta
